,Interval,Time_min,video,SSI_mo_pa,SSI_mo_pa_th,SSI_mo_th,SSI_pa_th
0,1,0.0,F1044Q.VOB,4.20991755122e-05,0.00665747955468,0.0156964611705,9.77469787781e-05
1,2,0.166666666667,F1044Q.VOB,0.0217707762356,0.0617144401933,0.00171675771953,0.124510533688
2,3,0.333333333333,F1044Q.VOB,0.0477469716632,0.0625081645479,0.0106779109241,0.079383112446
3,4,0.5,F1044Q.VOB,0.028640325823,0.0304802132888,0.0350207328165,0.00531821541151
4,5,0.666666666667,F1044Q.VOB,0.0113150820619,0.0333973824555,0.0676933822319,0.00112092361829
5,6,0.833333333333,F1044Q.VOB,0.0295254168667,0.0254576897894,0.00154530070712,0.0304158731065
6,7,1.0,F1044Q.VOB,0.0337592996333,0.0296560342345,0.0265200163909,0.0136948636311
7,8,1.16666666667,F1044Q.VOB,0.0219224118277,0.0461411344608,4.42671539647e-07,0.0868691886785
8,9,1.33333333333,F1044Q.VOB,0.013666234356,0.0678416031351,0.016958643188,0.135708296987
9,10,1.5,F1044Q.VOB,0.000179389842992,0.0112793364183,0.0216184527301,0.00513250927135
10,11,1.66666666667,F1044Q.VOB,0.0459420940526,0.0453663509721,0.0103715707998,0.0562449996852
11,12,1.83333333333,F1044Q.VOB,0.0164978483982,0.056290360151,0.114703033771,0.00540157396054
12,13,2.0,F1044Q.VOB,0.0219361118862,0.0160586422872,0.0119692219852,0.00302718513555
13,14,2.16666666667,F1044Q.VOB,0.0415791509492,0.0201829416721,0.00489636080938,0.00216811592826
14,15,2.33333333333,F1044Q.VOB,0.00200412275662,0.0120676109087,0.0205734493377,0.0054666770115
15,16,2.5,F1044Q.VOB,0.105813984192,0.0677134287936,0.0359192111372,0.00904247390057
16,17,2.66666666667,F1044Q.VOB,0.252849542869,0.106852775122,0.000379561941707,0.0010489440491
17,18,2.83333333333,F1044Q.VOB,0.0150725473422,0.00933714004986,0.00305411857209,0.0035388758195
18,19,3.0,F1044Q.VOB,0.0686262848278,0.0327880411117,0.00831922208935,0.00196119363889
19,20,3.16666666667,F1044Q.VOB,0.00814550800387,0.0994747732244,0.227212246847,5.00492734645e-06
20,21,3.33333333333,F1044Q.VOB,0.00612332683796,0.0179598744926,0.0046433950516,0.0306353419805
21,22,3.5,F1044Q.VOB,0.0113967569611,0.0148669122776,0.0174279817027,0.00781829041018
22,23,3.66666666667,F1044Q.VOB,0.0034291194189,0.0060502746333,0.00463931711136,0.00667001237665
23,24,3.83333333333,F1044Q.VOB,0.000782074015168,0.0197059624752,0.01384636737,0.0312940979756
24,25,4.0,F1044Q.VOB,0.0013509915716,0.0150847487336,0.00311252210765,0.0308991147833
25,26,4.16666666667,F1044Q.VOB,0.00813617870105,0.00737288321764,0.00107083395756,0.00860624147275
26,27,4.33333333333,F1044Q.VOB,0.0822407228126,0.0602774447801,0.00118971915854,0.0545587284642
27,28,4.5,F1044Q.VOB,0.00011850763504,0.0132946004959,0.00570860125753,0.0255519172114
28,29,4.66666666667,F1044Q.VOB,0.0581172949462,0.0256358740238,0.000539424957132,0.0025494214205
29,30,4.83333333333,F1044Q.VOB,0.0143278675139,0.00656169724004,0.000865138153825,0.000490441075897
30,31,5.0,F1044Q.VOB,0.132142057279,0.057950286489,3.56409436435e-05,0.00543597159778
31,32,5.16666666667,F1044Q.VOB,0.00180109582512,0.0363089542918,0.000187376713653,0.0844612690866
32,33,5.33333333333,F1044Q.VOB,0.0396004405339,0.0223449252339,0.00981634244143,0.00511369452343
33,34,5.5,F1044Q.VOB,0.182643757888,0.0840130808711,0.00706090443416,0.0135795912735
34,35,5.66666666667,F1044Q.VOB,0.00231487876437,0.00970755420986,0.00240044477133,0.0179447709594
35,36,5.83333333333,F1044Q.VOB,0.00481741878594,0.0658620711449,0.0277286391562,0.127197294935
36,37,6.0,F1044Q.VOB,1.47488386174e-05,0.0263598992145,0.0327111014824,0.0296236255672
37,38,6.16666666667,F1044Q.VOB,0.115107267216,0.0694528249254,0.00900412985398,0.0311060441907
38,39,6.33333333333,F1044Q.VOB,0.0425244687996,0.0219951856488,0.00669850432148,0.00197613516834
39,40,6.5,F1044Q.VOB,0.0151056457253,0.0180597863294,0.000696910363315,0.0275724130069
40,41,6.66666666667,F1044Q.VOB,0.000364087096785,0.0187917357089,0.00977369009569,0.0347946291887
41,42,6.83333333333,F1044Q.VOB,0.0177880435919,0.0755522182239,0.125802100248,0.0447007218046
42,43,7.0,F1044Q.VOB,0.0184326916223,0.128107155265,0.234397012877,0.0290731515324
43,44,7.16666666667,F1044Q.VOB,0.0462210297365,0.0920445278186,0.0527068940453,0.136023020028
44,45,7.33333333333,F1044Q.VOB,0.00269082203303,0.145641820375,0.176144577144,0.16307607961
45,46,7.5,F1044Q.VOB,0.0058756721912,0.00307081914408,0.000764667452747,0.000723457080861
46,47,7.66666666667,F1044Q.VOB,0.0198178649302,0.108182799566,0.150456935577,0.0999066180543
47,48,7.83333333333,F1044Q.VOB,0.04172269839,0.040361510918,0.0127009137588,0.03497617859
48,49,8.0,F1044Q.VOB,0.00121943026711,0.00326137604231,0.0059610700522,0.000497110271757
49,50,8.16666666667,F1044Q.VOB,0.0133849008138,0.0144350405036,0.0189204264132,0.00287489438809
50,51,8.33333333333,F1044Q.VOB,0.00111859486276,0.00079832826591,0.000743039249251,4.2968991377e-05
51,52,8.5,F1044Q.VOB,0.0213224281431,0.00907618213585,2.22623804332e-05,0.000243586363065
52,53,8.66666666667,F1044Q.VOB,0.00478307913235,0.0073281151207,0.00501868049832,0.00809651597946
53,54,8.83333333333,F1044Q.VOB,0.0146509407342,0.0441974416323,0.0431248467632,0.039594739976
54,55,9.0,F1044Q.VOB,0.0551787649058,0.0251026004777,0.00279575675463,0.0022932709464
55,56,9.16666666667,F1044Q.VOB,0.0264512330072,0.0135698044483,0.00556331084841,6.20100305714e-05
