"","video","frame_index","slidedFather","slidedMother","slidedPatient"
"1","F1044D2.VOB",1,2.75182e-06,2.182696e-05,0.002901738
"2","F1044D2.VOB",2,0,1.870882e-05,0.003191912
"3","F1044D2.VOB",3,0,2.494508e-05,0.003262258
"4","F1044D2.VOB",4,2.75182e-06,2.80632e-05,0.003666742
"5","F1044D2.VOB",5,5.50364e-06,3.118132e-05,0.003367774
"6","F1044D2.VOB",6,1.10073e-05,2.806318e-05,0.002928116
"7","F1044D2.VOB",7,1.10073e-05,3.118132e-05,0.002708288
"8","F1044D2.VOB",8,1.10073e-05,2.494506e-05,0.002251044
"9","F1044D2.VOB",9,8.25548e-06,1.87088e-05,0.001547592
"10","F1044D2.VOB",10,5.50366e-06,1.247254e-05,0.00165311
"11","F1044D2.VOB",11,2.75182e-06,1.559068e-05,0.001670696
"12","F1044D2.VOB",12,2.75182e-06,1.247254e-05,0.001653108
"13","F1044D2.VOB",13,8.25548e-06,2.182692e-05,0.001943282
"14","F1044D2.VOB",14,8.25548e-06,2.182692e-05,0.002110352
"15","F1044D2.VOB",15,1.375914e-05,2.182692e-05,0.00210156
"16","F1044D2.VOB",16,1.100732e-05,1.870878e-05,0.002075182
"17","F1044D2.VOB",17,1.92628e-05,1.870878e-05,0.002101562
"18","F1044D2.VOB",18,1.651096e-05,1.247252e-05,0.001820182
"19","F1044D2.VOB",19,2.201462e-05,2.494504e-05,0.001767424
"20","F1044D2.VOB",20,2.201462e-05,2.494504e-05,0.001688284
"21","F1044D2.VOB",21,2.201462e-05,2.806318e-05,0.001582766
"22","F1044D2.VOB",22,1.651096e-05,2.806318e-05,0.00184656
"23","F1044D2.VOB",23,1.92628e-05,2.494506e-05,0.001864146
"24","F1044D2.VOB",24,1.375914e-05,1.559068e-05,0.001802594
"25","F1044D2.VOB",25,1.10073e-05,1.559068e-05,0.001811388
"26","F1044D2.VOB",26,1.926278e-05,1.559068e-05,0.002057596
"27","F1044D2.VOB",27,2.476644e-05,9.35442e-06,0.0019257
"28","F1044D2.VOB",28,2.476644e-05,1.247254e-05,0.00223346
"29","F1044D2.VOB",29,2.476644e-05,1.559066e-05,0.002224666
"30","F1044D2.VOB",30,3.302192e-05,2.182692e-05,0.002171908
"31","F1044D2.VOB",31,7.980304e-05,1.870878e-05,0.002145528
"32","F1044D2.VOB",32,7.705122e-05,2.182692e-05,0.00184656
"33","F1044D2.VOB",33,0.00011832856,1.559066e-05,0.0014860408
"34","F1044D2.VOB",34,0.00022014616,1.559066e-05,0.0016970768
"35","F1044D2.VOB",35,0.00024491266,1.247254e-05,0.0015915588
"36","F1044D2.VOB",36,0.00018987606,1.247254e-05,0.0013893168
"37","F1044D2.VOB",37,0.00018712422,1.247254e-05,0.0015739728
"38","F1044D2.VOB",38,0.000159606,1.87088e-05,0.001828974
"39","F1044D2.VOB",39,6.87957e-05,2.182694e-05,0.00182018
"40","F1044D2.VOB",40,3.30219e-05,2.494506e-05,0.002057594
"41","F1044D2.VOB",41,4.953286e-05,3.118132e-05,0.002163112
"42","F1044D2.VOB",42,6.879564e-05,2.806318e-05,0.002330182
"43","F1044D2.VOB",43,5.228468e-05,2.806318e-05,0.002312596
"44","F1044D2.VOB",44,4.127738e-05,2.494504e-05,0.002338976
"45","F1044D2.VOB",45,4.127738e-05,2.182692e-05,0.0020224232
"46","F1044D2.VOB",46,2.476642e-05,2.182692e-05,0.0024620792
"47","F1044D2.VOB",47,5.50364e-06,2.806318e-05,0.0021982852
"48","F1044D2.VOB",48,2.75182e-06,3.118132e-05,0.0025148372
"49","F1044D2.VOB",49,1.651096e-05,3.741758e-05,0.0026994932
"50","F1044D2.VOB",50,1.926278e-05,3.429944e-05,0.00299846
"51","F1044D2.VOB",51,1.926278e-05,3.118132e-05,0.002664322
"52","F1044D2.VOB",52,1.926278e-05,2.80632e-05,0.00271708
"53","F1044D2.VOB",53,2.20146e-05,3.429946e-05,0.00229501
"54","F1044D2.VOB",54,1.651094e-05,3.429946e-05,0.002031216
"55","F1044D2.VOB",55,6.604392e-05,4.989012e-05,0.001916906
"56","F1044D2.VOB",56,7.705122e-05,5.300824e-05,0.001811388
"57","F1044D2.VOB",57,0.0001155768,5.300824e-05,0.0015915602
"58","F1044D2.VOB",58,0.00016786158,4.365384e-05,0.0017762162
"59","F1044D2.VOB",59,0.0002696791,3.429946e-05,0.0017410442
"60","F1044D2.VOB",60,0.00023390526,3.429946e-05,0.0016706982
"61","F1044D2.VOB",61,0.00022564978,4.053572e-05,0.0016531122
"62","F1044D2.VOB",62,0.0001871242,3.741758e-05,0.00187294
"63","F1044D2.VOB",63,0.00014584674,4.365384e-05,0.001776216
"64","F1044D2.VOB",64,4.402922e-05,5.612636e-05,0.001864146
"65","F1044D2.VOB",65,3.027008e-05,4.98901e-05,0.00198725
"66","F1044D2.VOB",66,2.751826e-05,3.741758e-05,0.001908112
"67","F1044D2.VOB",67,7.154744e-05,4.677198e-05,0.001916906
"68","F1044D2.VOB",68,6.604378e-05,3.429946e-05,0.002022424
"69","F1044D2.VOB",69,5.77883e-05,2.80632e-05,0.0017146646
"70","F1044D2.VOB",70,5.77883e-05,3.118132e-05,0.0016619066
"71","F1044D2.VOB",71,5.77883e-05,3.118132e-05,0.0017322506
"72","F1044D2.VOB",72,1.651096e-05,3.429944e-05,0.0016970786
"73","F1044D2.VOB",73,8.25548e-06,4.05357e-05,0.0015036286
"74","F1044D2.VOB",74,1.10073e-05,3.741756e-05,0.001714664
"75","F1044D2.VOB",75,1.10073e-05,4.365382e-05,0.001609146
"76","F1044D2.VOB",76,1.10073e-05,6.548082e-05,0.001908114
"77","F1044D2.VOB",77,5.50364e-06,6.23627e-05,0.001855354
"78","F1044D2.VOB",78,5.50364e-06,6.548084e-05,0.001952078
"79","F1044D2.VOB",79,2.75182e-06,7.483524e-05,0.001969664
"80","F1044D2.VOB",80,0,5.92446e-05,0.001969664
"81","F1044D2.VOB",81,0,4.053574e-05,0.001468454
"82","F1044D2.VOB",82,1.10073e-05,3.429948e-05,0.00148604
"83","F1044D2.VOB",83,1.926278e-05,3.429948e-05,0.001389316
"84","F1044D2.VOB",84,2.476644e-05,3.118134e-05,0.001327764
"85","F1044D2.VOB",85,2.476644e-05,3.118134e-05,0.00134535
"86","F1044D2.VOB",86,2.751826e-05,3.429946e-05,0.001697076
"87","F1044D2.VOB",87,1.926278e-05,3.741758e-05,0.001653112
"88","F1044D2.VOB",88,1.375912e-05,3.118132e-05,0.001767422
"89","F1044D2.VOB",89,8.25546e-06,1.87088e-05,0.00170587
"90","F1044D2.VOB",90,1.100728e-05,2.494506e-05,0.00170587
"91","F1044D2.VOB",91,1.100728e-05,2.80632e-05,0.001811388
"92","F1044D2.VOB",92,1.100728e-05,2.494508e-05,0.001864146
"93","F1044D2.VOB",93,8.25546e-06,2.80632e-05,0.001653112
"94","F1044D2.VOB",94,2.751824e-05,3.118134e-05,0.001855354
"95","F1044D2.VOB",95,3.577372e-05,2.494508e-05,0.001820182
"96","F1044D2.VOB",96,5.228468e-05,1.870882e-05,0.001442076
"97","F1044D2.VOB",97,0.00011832846,1.870882e-05,0.00137173
"98","F1044D2.VOB",98,0.00012383212,1.247256e-05,0.001573972
"99","F1044D2.VOB",99,0.00010456934,1.247256e-05,0.001468454
"100","F1044D2.VOB",100,9.631386e-05,1.559068e-05,0.001846558
"101","F1044D2.VOB",101,7.98029e-05,1.559068e-05,0.001987248
"102","F1044D2.VOB",102,3.85255e-05,2.182694e-05,0.002180698
"103","F1044D2.VOB",103,3.577366e-05,2.80632e-05,0.00210156
"104","F1044D2.VOB",104,4.127732e-05,2.494506e-05,0.002031216
"105","F1044D2.VOB",105,3.85255e-05,2.182694e-05,0.0015475934
"106","F1044D2.VOB",106,3.577368e-05,2.494506e-05,0.0016003534
"107","F1044D2.VOB",107,8.25548e-06,1.87088e-05,0.0014508694
"108","F1044D2.VOB",108,5.50366e-06,1.87088e-05,0.0014508694
"109","F1044D2.VOB",109,0,2.80632e-05,0.0014420754
"110","F1044D2.VOB",110,2.75182e-06,3.741758e-05,0.00170587
"111","F1044D2.VOB",111,1.10073e-05,3.118132e-05,0.001767422
"112","F1044D2.VOB",112,0.0001458467,3.118132e-05,0.001987252
"113","F1044D2.VOB",113,0.0001898759,2.494506e-05,0.002075182
"114","F1044D2.VOB",114,0.0002696789,2.806318e-05,0.002171908
"115","F1044D2.VOB",115,0.00053110308,2.494506e-05,0.002127942
"116","F1044D2.VOB",116,0.0010126736,3.429946e-05,0.001943286
"117","F1044D2.VOB",117,0.0016180762,3.118132e-05,0.0016091456
"118","F1044D2.VOB",118,0.002539939,3.741758e-05,0.0017234576
"119","F1044D2.VOB",119,0.003412268,3.118132e-05,0.0015124212
"120","F1044D2.VOB",120,0.004257078,2.494506e-05,0.0015388012
"121","F1044D2.VOB",121,0.005244982,2.182692e-05,0.0015388012
"122","F1044D2.VOB",122,0.00653284,2.494506e-05,0.0017058716
"123","F1044D2.VOB",123,0.008109628,2.494506e-05,0.0013805256
"124","F1044D2.VOB",124,0.010459696,2.182694e-05,0.001705872
"125","F1044D2.VOB",125,0.01342891,2.494506e-05,0.0014860428
"126","F1044D2.VOB",126,0.016577,2.182694e-05,0.0014596628
"127","F1044D2.VOB",127,0.0195297,3.118132e-05,0.0014069028
"128","F1044D2.VOB",128,0.02148076,2.80632e-05,0.0015827648
"129","F1044D2.VOB",129,0.02157706,3.429946e-05,0.0013013848
"130","F1044D2.VOB",130,0.0204158,5.30082e-05,0.001591558
"131","F1044D2.VOB",131,0.01839046,5.612632e-05,0.001617938
"132","F1044D2.VOB",132,0.01577624,4.677194e-05,0.001609146
"133","F1044D2.VOB",133,0.013038166,4.989006e-05,0.001433284
"134","F1044D2.VOB",134,0.010847718,4.677192e-05,0.00170587
"135","F1044D2.VOB",135,0.008467384,2.182692e-05,0.00156518
"136","F1044D2.VOB",136,0.006216386,1.87088e-05,0.001582766
"137","F1044D2.VOB",137,0.0040039082,1.87088e-05,0.001688284
"138","F1044D2.VOB",138,0.002297775,1.559068e-05,0.00198725
"139","F1044D2.VOB",139,0.00110898578,9.35442e-06,0.001916906
"140","F1044D2.VOB",140,0.00059989798,1.247256e-05,0.002048804
"141","F1044D2.VOB",141,0.00026417512,1.247256e-05,0.0018465614
"142","F1044D2.VOB",142,0.0001183284,1.247256e-05,0.0018377674
"143","F1044D2.VOB",143,7.154742e-05,1.247256e-05,0.0016003534
"144","F1044D2.VOB",144,5.77883e-05,1.247256e-05,0.0014069034
"145","F1044D2.VOB",145,4.12774e-05,2.182694e-05,0.0013101774
"146","F1044D2.VOB",146,5.228466e-05,2.80632e-05,0.001855352
"147","F1044D2.VOB",147,0.00012933578,3.118132e-05,0.003060012
"148","F1044D2.VOB",148,0.00026692716,3.429944e-05,0.007491764
"149","F1044D2.VOB",149,0.0003522337,3.741758e-05,0.014666976
"150","F1044D2.VOB",150,0.000459555,2.80632e-05,0.021947698
"151","F1044D2.VOB",151,0.00060265,2.80632e-05,0.029993432
"152","F1044D2.VOB",152,0.00053660618,2.80632e-05,0.03907674
"153","F1044D2.VOB",153,0.00044304398,2.494508e-05,0.04657728
"154","F1044D2.VOB",154,0.00054486158,3.429946e-05,0.05331282
"155","F1044D2.VOB",155,0.00072648298,4.677198e-05,0.0609013
"156","F1044D2.VOB",156,0.00100441758,4.677198e-05,0.06856012
"157","F1044D2.VOB",157,0.0014942428,4.365386e-05,0.07497912
"158","F1044D2.VOB",158,0.0017749298,4.365386e-05,0.08047484
"159","F1044D2.VOB",159,0.001873996,3.74176e-05,0.08387778
"160","F1044D2.VOB",160,0.001799696,3.118134e-05,0.08662124
"161","F1044D2.VOB",161,0.001582302,2.494508e-05,0.08774676
"162","F1044D2.VOB",162,0.001334638,2.182694e-05,0.08886348
"163","F1044D2.VOB",163,0.0011310022,2.494506e-05,0.08876674
"164","F1044D2.VOB",164,0.00085857098,2.494506e-05,0.08955812
"165","F1044D2.VOB",165,0.00065218376,1.87088e-05,0.08979554
"166","F1044D2.VOB",166,0.00044304454,2.182692e-05,0.0911233
