"","video","frame_index","slidedMother","slidedTherapist","slidedPatient"
"1","F1044P.VOB",1,0.005532544,0.004028804,0.002291966
"2","F1044P.VOB",2,0.0045781244,0.004238446,0.002503846
"3","F1044P.VOB",3,0.002580009,0.003810044,0.00287871
"4","F1044P.VOB",4,0.0013238702,0.003536596,0.003357476
"5","F1044P.VOB",5,0.0006219114,0.003518366,0.00391366
"6","F1044P.VOB",6,0.0004187128,0.003554826,0.00435168
"7","F1044P.VOB",7,0.0003201922,0.003481908,0.004960832
"8","F1044P.VOB",8,0.0002062778,0.003573056,0.00559647
"9","F1044P.VOB",9,0.000135466,0.003682436,0.006977766
"10","F1044P.VOB",10,0.00010159958,0.003737126,0.008422212
"11","F1044P.VOB",11,8.004818e-05,0.003554826,0.010296528
"12","F1044P.VOB",12,0.00012007218,0.00352748,0.012447926
"13","F1044P.VOB",13,0.00079740198,0.003408986,0.01456264
"14","F1044P.VOB",14,0.00223826658,0.00343633,0.0163738
"15","F1044P.VOB",15,0.0042086798,0.0034181,0.01802198
"16","F1044P.VOB",16,0.0069210798,0.003390756,0.01925252
"17","F1044P.VOB",17,0.010089128,0.003399872,0.0194542
"18","F1044P.VOB",18,0.013525028,0.003627746,0.01875338
"19","F1044P.VOB",19,0.016585332,0.005350476,0.01692796
"20","F1044P.VOB",20,0.01961792,0.009342826,0.014020728
"21","F1044P.VOB",21,0.0223457,0.01483002,0.010553232
"22","F1044P.VOB",22,0.02530748,0.021821174,0.00784159
"23","F1044P.VOB",23,0.02791828,0.02790996,0.005400896
"24","F1044P.VOB",24,0.03031048,0.03050772,0.003970704
"25","F1044P.VOB",25,0.03254874,0.02943216,0.00354287
"26","F1044P.VOB",26,0.03382644,0.02595936,0.003426744
"27","F1044P.VOB",27,0.03356474,0.019815894,0.002962238
"28","F1044P.VOB",28,0.03227474,0.01358127,0.002846112
"29","F1044P.VOB",29,0.0307569,0.009452194,0.002599598
"30","F1044P.VOB",30,0.0290913,0.006599208,0.002316414
"31","F1044P.VOB",31,0.02789366,0.004940296,0.002049526
"32","F1044P.VOB",32,0.02646512,0.004183756,0.001772454
"33","F1044P.VOB",33,0.02439926,0.004274904,0.0013772172
"34","F1044P.VOB",34,0.02098183,0.00485826,0.0012631292
"35","F1044P.VOB",35,0.015948032,0.00581533,0.0013996272
"36","F1044P.VOB",36,0.010791086,0.008285482,0.0021412072
"37","F1044P.VOB",37,0.007010354,0.012250488,0.0036263992
"38","F1044P.VOB",38,0.004571972,0.016990264,0.005586276
"39","F1044P.VOB",39,0.003626788,0.022103744,0.00731595
"40","F1044P.VOB",40,0.004134786,0.02725368,0.00880522
"41","F1044P.VOB",41,0.004488846,0.03204814,0.009338992
"42","F1044P.VOB",42,0.004125552,0.03542978,0.00876651
"43","F1044P.VOB",43,0.003565216,0.03797284,0.007945486
"44","F1044P.VOB",44,0.0026970036,0.03598578,0.006998136
"45","F1044P.VOB",45,0.0017672144,0.03137362,0.006024304
"46","F1044P.VOB",46,0.0011730112,0.024400686,0.00545386
"47","F1044P.VOB",47,0.0008990004,0.01719988,0.004991394
"48","F1044P.VOB",48,0.0006373056,0.009880584,0.004400576
"49","F1044P.VOB",49,0.000871292,0.006043198,0.0037629
"50","F1044P.VOB",50,0.0015024392,0.004675962,0.0028827856
"51","F1044P.VOB",51,0.0027893644,0.004019688,0.002120834
"52","F1044P.VOB",52,0.0045165552,0.003773584,0.001690962
"53","F1044P.VOB",53,0.006483888,0.003718896,0.001081808
"54","F1044P.VOB",54,0.008158748,0.00383739,0.0007599138
"55","F1044P.VOB",55,0.009143956,0.003627746,0.0008475178
"56","F1044P.VOB",56,0.01020306,0.003463676,0.0008067718
"57","F1044P.VOB",57,0.011037406,0.003308722,0.0006743472
"58","F1044P.VOB",58,0.011459206,0.00361863,0.0007150932
"59","F1044P.VOB",59,0.011477666,0.00363686,0.0007049066
"60","F1044P.VOB",60,0.011711652,0.00365509,0.000719167
"61","F1044P.VOB",61,0.011182098,0.003892078,0.0012386786
"62","F1044P.VOB",62,0.01002756,0.004065262,0.0016991092
"63","F1044P.VOB",63,0.009362538,0.003664204,0.0019863692
"64","F1044P.VOB",64,0.009744318,0.003554826,0.002153428
"65","F1044P.VOB",65,0.009427204,0.003573056,0.002120832
"66","F1044P.VOB",66,0.009017726,0.003718896,0.001725596
"67","F1044P.VOB",67,0.00933176,0.003718896,0.001772454
"68","F1044P.VOB",68,0.008999254,0.003664206,0.001913028
"69","F1044P.VOB",69,0.00770924,0.003454562,0.001870244
"70","F1044P.VOB",70,0.00773387,0.003454562,0.0018315352
"71","F1044P.VOB",71,0.007379812,0.003345182,0.0018641312
"72","F1044P.VOB",72,0.006850264,0.003536596,0.0014872292
"73","F1044P.VOB",73,0.006837948,0.003536596,0.0011816332
"74","F1044P.VOB",74,0.007444466,0.00367332,0.0011836712
"75","F1044P.VOB",75,0.007869338,0.00356394,0.001279424
"76","F1044P.VOB",76,0.008771408,0.003372526,0.0010634706
"77","F1044P.VOB",77,0.009282484,0.003144652,0.0008434426
"78","F1044P.VOB",78,0.009190122,0.003800928,0.0006336006
"79","F1044P.VOB",79,0.008580526,0.004028802,0.0004991386
"80","F1044P.VOB",80,0.007293598,0.004056148,0.0003585652
"81","F1044P.VOB",81,0.005914318,0.004156412,0.0004482066
"82","F1044P.VOB",82,0.005061498,0.00441163,0.0006947206
"83","F1044P.VOB",83,0.004445744,0.003955882,0.0008638166
"84","F1044P.VOB",84,0.004039346,0.003709778,0.000865854
"85","F1044P.VOB",85,0.004217916,0.003864732,0.0007965856
"86","F1044P.VOB",86,0.004525794,0.004183756,0.0007680634
"87","F1044P.VOB",87,0.00463663,0.003810044,0.0006173028
"88","F1044P.VOB",88,0.004676654,0.0037827,0.0004278338
"89","F1044P.VOB",89,0.004270256,0.003645976,0.0003606028
"90","F1044P.VOB",90,0.0033712546,0.003554826,0.0003524536
"91","F1044P.VOB",91,0.0024784112,0.003445446,0.00021391692
"92","F1044P.VOB",92,0.0015424644,0.003454562,0.00010797712
"93","F1044P.VOB",93,0.0007881648,0.003208458,9.575334e-05
"94","F1044P.VOB",94,0.0005141546,0.003609516,0.00011612634
"95","F1044P.VOB",95,0.000523391,0.00372801,0.00013446214
"96","F1044P.VOB",96,0.0006249904,0.003755356,0.00018132002
"97","F1044P.VOB",97,0.0010929632,0.003955884,0.00030559542
"98","F1044P.VOB",98,0.0020412248,0.004284022,0.0004685796
"99","F1044P.VOB",99,0.004227143,0.00383739,0.000464505
"100","F1044P.VOB",100,0.007583006,0.003427218,0.0004461692
"101","F1044P.VOB",101,0.010495532,0.003053504,0.00040338592
"102","F1044P.VOB",102,0.011345272,0.003126424,0.00036671452
"103","F1044P.VOB",103,0.010714124,0.003162884,0.00040949712
"104","F1044P.VOB",104,0.0085651512,0.003181114,0.00047469072
"105","F1044P.VOB",105,0.0052739424,0.003254034,0.00049302652
"106","F1044P.VOB",106,0.0025245904,0.003882966,0.00048895192
"107","F1044P.VOB",107,0.0014100764,0.003901196,0.00037282562
"108","F1044P.VOB",108,0.0011083566,0.003563944,0.00016909614
"109","F1044P.VOB",109,0.0011822474,0.003673322,0.00011408894
"110","F1044P.VOB",110,0.0013361862,0.003746242,8.352936e-05
"111","F1044P.VOB",111,0.0019242322,0.003308724,7.130554e-05
"112","F1044P.VOB",112,0.0021028002,0.00295324,7.538014e-05
"113","F1044P.VOB",113,0.002235188,0.003226688,7.945474e-05
"114","F1044P.VOB",114,0.002247502,0.003217574,4.685796e-05
"115","F1044P.VOB",115,0.0019704124,0.003481906,8.352934e-05
"116","F1044P.VOB",116,0.0010283086,0.003308722,0.00021799144
"117","F1044P.VOB",117,0.0005695726,0.003363412,0.00023428994
"118","F1044P.VOB",118,0.0003632944,0.003326952,0.00024855102
"119","F1044P.VOB",119,0.00014778118,0.003500136,0.0002872598
"120","F1044P.VOB",120,0.00010159956,0.003244918,0.0003993116
"121","F1044P.VOB",121,8.004814e-05,0.003418102,0.0006702722
"122","F1044P.VOB",122,0.00010775714,0.003828274,0.0011307018
"123","F1044P.VOB",123,0.00047413134,0.0036004,0.0024142036
"124","F1044P.VOB",124,0.00165637856,0.003244916,0.0051482564
"125","F1044P.VOB",125,0.00321423578,0.00334518,0.008786884
"126","F1044P.VOB",126,0.005544857,0.003573054,0.013038744
"127","F1044P.VOB",127,0.009981364,0.003345182,0.016966664
"128","F1044P.VOB",128,0.016613042,0.003317838,0.02016726
"129","F1044P.VOB",129,0.023958996,0.003372528,0.02052176
"130","F1044P.VOB",130,0.031776,0.003500138,0.01983926
"131","F1044P.VOB",131,0.03811212,0.003500138,0.01855372
"132","F1044P.VOB",132,0.04119704,0.00372801,0.01885932
"133","F1044P.VOB",133,0.04123706,0.003819158,0.0186943
"134","F1044P.VOB",134,0.03972538,0.004028802,0.01909158
"135","F1044P.VOB",135,0.03709918,0.003873848,0.01886544
"136","F1044P.VOB",136,0.03567062,0.003390756,0.017072608
"137","F1044P.VOB",137,0.03584304,0.003363412,0.01425094
"138","F1044P.VOB",138,0.03604008,0.003618632,0.01270464
"139","F1044P.VOB",139,0.0355444,0.003664206,0.01257018
"140","F1044P.VOB",140,0.03449454,0.003491022,0.01409612
"141","F1044P.VOB",141,0.03285664,0.003791816,0.016542912
"142","F1044P.VOB",142,0.03111098,0.0037827,0.01704206
"143","F1044P.VOB",143,0.02992566,0.003773584,0.015658722
"144","F1044P.VOB",144,0.02906976,0.003545712,0.014012572
"145","F1044P.VOB",145,0.02832162,0.003627746,0.01158003
"146","F1044P.VOB",146,0.02660366,0.003554826,0.00955903
"147","F1044P.VOB",147,0.02264436,0.003308724,0.008980426
"148","F1044P.VOB",148,0.017585932,0.003071736,0.008623898
"149","F1044P.VOB",149,0.012776888,0.003536598,0.007403554
"150","F1044P.VOB",150,0.009331746,0.005222862,0.005875578
"151","F1044P.VOB",151,0.007133512,0.009196976,0.004156098
"152","F1044P.VOB",152,0.006400764,0.0159785,0.0025140328
"153","F1044P.VOB",153,0.006545466,0.024081684,0.0017480068
"154","F1044P.VOB",154,0.007105804,0.03192964,0.0015768728
"155","F1044P.VOB",155,0.006677854,0.03659648,0.0013711048
"156","F1044P.VOB",156,0.005898926,0.0363686,0.0013711048
"157","F1044P.VOB",157,0.006068258,0.03115484,0.001585022
"158","F1044P.VOB",158,0.005942028,0.023033426,0.001550388
"159","F1044P.VOB",159,0.005489448,0.01496671,0.0013344338
"160","F1044P.VOB",160,0.00565878,0.01047305,0.0011449642
"161","F1044P.VOB",161,0.005843506,0.01052775,0.0008617788
"162","F1044P.VOB",162,0.005135388,0.01473885,0.0004787654
"163","F1044P.VOB",163,0.00435338,0.021274264,0.0003015208
"164","F1044P.VOB",164,0.003657578,0.0278279,0.00016705872
"165","F1044P.VOB",165,0.002709318,0.0325859,0.00013242472
"166","F1044P.VOB",166,0.002145902,0.0341081,0.00013242472
"167","F1044P.VOB",167,0.001662536,0.03103638,0.00013038742
"168","F1044P.VOB",168,0.001862656,0.024902024,5.704454e-05
"169","F1044P.VOB",169,0.002284448,0.018384848,8.149222e-05
"170","F1044P.VOB",170,0.002764736,0.012122886,7.130564e-05
