frame,father,mother,patient,therapist,file
1,NA,NA,0.00184633,0.00186268,F1044L.VOB
2,NA,NA,0.00060383,0.00368204,F1044L.VOB
3,NA,NA,0.000952193,0.00472168,F1044L.VOB
4,NA,NA,0.000638666,0.00160277,F1044L.VOB
5,NA,NA,0.000232242,0.00446177,F1044L.VOB
6,NA,NA,3.48363e-05,0.00389864,F1044L.VOB
7,NA,NA,0.00016257,0.00160277,F1044L.VOB
8,NA,NA,0.000592218,0.00316223,F1044L.VOB
9,NA,NA,0.000917357,0.00454841,F1044L.VOB
10,NA,NA,0.00128894,0.00207927,F1044L.VOB
11,NA,NA,0.0010567,0.00229586,F1044L.VOB
12,NA,NA,0.000719951,0.00281568,F1044L.VOB
13,NA,NA,0.000464484,0.00177605,F1044L.VOB
14,NA,NA,0.000278691,0.00337882,F1044L.VOB
15,NA,NA,0.000104509,0.00359541,F1044L.VOB
16,NA,NA,0.000139345,0.00294564,F1044L.VOB
17,NA,NA,0.00044126,0.00329218,F1044L.VOB
18,NA,NA,3.48363e-05,0.002859,F1044L.VOB
19,NA,NA,5.80605e-05,0.0023825,F1044L.VOB
20,NA,NA,0.00016257,0.00311891,F1044L.VOB
21,NA,NA,0.000743175,0.004765,F1044L.VOB
22,NA,NA,0.000627054,0.0023825,F1044L.VOB
23,NA,NA,0.00148635,0.00342214,F1044L.VOB
24,NA,NA,0.000615442,0.00229586,F1044L.VOB
25,NA,NA,0.000209018,0.00246914,F1044L.VOB
26,NA,NA,0.000301915,0.00385532,F1044L.VOB
27,NA,NA,1.16121e-05,0.00519818,F1044L.VOB
28,NA,NA,9.28969e-05,0.00246914,F1044L.VOB
29,NA,NA,0.000255466,0.00363873,F1044L.VOB
30,NA,NA,0.000290303,0.00355209,F1044L.VOB
31,NA,NA,0.000476096,0.00294564,F1044L.VOB
32,NA,NA,0.000673502,0.00372536,F1044L.VOB
33,NA,NA,0.00193922,0.00402859,F1044L.VOB
34,NA,NA,0.00210179,0.00324886,F1044L.VOB
35,NA,NA,0.000673502,0.00420186,F1044L.VOB
36,NA,NA,0.0003832,0.00199264,F1044L.VOB
37,NA,NA,0.000127733,0.00281568,F1044L.VOB
38,NA,NA,0.000209018,0.00394195,F1044L.VOB
39,NA,NA,0.000127733,0.00407191,F1044L.VOB
40,NA,NA,1.16121e-05,0.0023825,F1044L.VOB
41,NA,NA,0.000185794,0.00480832,F1044L.VOB
42,NA,NA,0.000104509,0.00216591,F1044L.VOB
43,NA,NA,5.80605e-05,0.00125623,F1044L.VOB
44,NA,NA,9.28969e-05,0.00337882,F1044L.VOB
45,NA,NA,0.000209018,0.00454841,F1044L.VOB
46,NA,NA,2.32242e-05,0.00233918,F1044L.VOB
47,NA,NA,0.000174182,0.00259909,F1044L.VOB
48,NA,NA,0,0.00177605,F1044L.VOB
49,NA,NA,4.64484e-05,0.00342214,F1044L.VOB
50,NA,NA,0.000255466,0.00298895,F1044L.VOB
51,NA,NA,0.000150957,0.00363873,F1044L.VOB
52,NA,NA,0.000243854,0.00272904,F1044L.VOB
53,NA,NA,0.000452872,0.00342214,F1044L.VOB
54,NA,NA,0.000104509,0.00251245,F1044L.VOB
55,NA,NA,0.000174182,0.00255577,F1044L.VOB
56,NA,NA,0.000174182,0.00363873,F1044L.VOB
57,NA,NA,0.000139345,0.00415854,F1044L.VOB
58,NA,NA,0.000232242,0.00164609,F1044L.VOB
59,NA,NA,0.000139345,0.00225254,F1044L.VOB
60,NA,NA,5.80605e-05,0.00220923,F1044L.VOB
61,NA,NA,9.28969e-05,0.00216591,F1044L.VOB
62,NA,NA,0.000336751,0.0042885,F1044L.VOB
63,NA,NA,0.000952193,0.00485164,F1044L.VOB
64,NA,NA,0.000278691,0.002859,F1044L.VOB
65,NA,NA,0.000812848,0.00259909,F1044L.VOB
66,NA,NA,0.000127733,0.00359541,F1044L.VOB
67,NA,NA,0.000185794,0.00259909,F1044L.VOB
68,NA,NA,0.000174182,0.00329218,F1044L.VOB
69,NA,NA,9.28969e-05,0.00493827,F1044L.VOB
70,NA,NA,0.000359975,0.00168941,F1044L.VOB
71,NA,NA,0.000185794,0.00320554,F1044L.VOB
72,NA,NA,5.80605e-05,0.00264241,F1044L.VOB
73,NA,NA,0.000580605,0.00147282,F1044L.VOB
74,NA,NA,0.00120766,0.00320554,F1044L.VOB
75,NA,NA,0.00174182,0.00402859,F1044L.VOB
76,NA,NA,0.000731563,0.00225254,F1044L.VOB
77,NA,NA,0.000743175,0.00294564,F1044L.VOB
78,NA,NA,0.00066189,0.0033355,F1044L.VOB
79,NA,NA,0.000998641,0.00251245,F1044L.VOB
80,NA,NA,0.00225275,0.00350877,F1044L.VOB
81,NA,NA,0.000476096,0.00472168,F1044L.VOB
82,NA,NA,6.96727e-05,0.00151614,F1044L.VOB
83,NA,NA,0.0003832,0.00346545,F1044L.VOB
84,NA,NA,0.000476096,0.00164609,F1044L.VOB
85,NA,NA,0.000580605,0.00298895,F1044L.VOB
86,NA,NA,0.000336751,0.00489495,F1044L.VOB
87,NA,NA,0.00044126,0.00489495,F1044L.VOB
88,NA,NA,5.80605e-05,0.00376868,F1044L.VOB
89,NA,NA,1.16121e-05,0.003812,F1044L.VOB
90,NA,NA,9.28969e-05,0.00411523,F1044L.VOB
91,NA,NA,0.000139345,0.00298895,F1044L.VOB
92,NA,NA,0.000139345,0.00389864,F1044L.VOB
93,NA,NA,0.000104509,0.00454841,F1044L.VOB
94,NA,NA,3.48363e-05,0.00181936,F1044L.VOB
95,NA,NA,0.000301915,0.00446177,F1044L.VOB
96,NA,NA,0.00125411,0.00220923,F1044L.VOB
97,NA,NA,0.00361137,0.00311891,F1044L.VOB
98,NA,NA,0.00643311,0.00342214,F1044L.VOB
99,NA,NA,0.00693243,0.00519818,F1044L.VOB
100,NA,NA,0.00683953,0.00229586,F1044L.VOB
101,NA,NA,0.0073853,0.00281568,F1044L.VOB
102,NA,NA,0.00549253,0.00298895,F1044L.VOB
103,NA,NA,0.0047029,0.0014295,F1044L.VOB
104,NA,NA,0.00276368,0.00251245,F1044L.VOB
105,NA,NA,0.00141668,0.00506823,F1044L.VOB
106,NA,NA,0.000859296,0.00251245,F1044L.VOB
107,NA,NA,0.000522545,0.0042885,F1044L.VOB
108,NA,NA,0.000534157,0.00251245,F1044L.VOB
109,NA,NA,0.000766399,0.00203595,F1044L.VOB
110,NA,NA,0.00163731,0.00459173,F1044L.VOB
111,NA,NA,0.00171859,0.00342214,F1044L.VOB
112,NA,NA,0.00281013,0.00255577,F1044L.VOB
113,NA,NA,0.00231081,0.00359541,F1044L.VOB
114,NA,NA,0.000870908,0.00311891,F1044L.VOB
115,NA,NA,0.000568993,0.00324886,F1044L.VOB
116,NA,NA,0.00206696,0.00355209,F1044L.VOB
117,NA,NA,0.00292625,0.00463504,F1044L.VOB
118,NA,NA,0.00419197,0.00147282,F1044L.VOB
119,NA,NA,0.00251983,0.00337882,F1044L.VOB
120,NA,NA,0.00190439,0.00242582,F1044L.VOB
121,NA,NA,0.00138184,0.00242582,F1044L.VOB
122,NA,NA,0.000685114,0.00402859,F1044L.VOB
123,NA,NA,0.000452872,0.00320554,F1044L.VOB
124,NA,NA,0.000267079,0.00229586,F1044L.VOB
125,NA,NA,0.00107993,0.00303227,F1044L.VOB
126,NA,NA,0.000197406,0.00385532,F1044L.VOB
127,NA,NA,9.28969e-05,0.00407191,F1044L.VOB
128,NA,NA,0.000371587,0.00407191,F1044L.VOB
129,NA,NA,0.000174182,0.00480832,F1044L.VOB
130,NA,NA,0.000685114,0.00155945,F1044L.VOB
131,NA,NA,0.00112637,0.00437514,F1044L.VOB
132,NA,NA,0.0010567,0.00220923,F1044L.VOB
133,NA,NA,0.000905745,0.00199264,F1044L.VOB
134,NA,NA,0.000615442,0.00220923,F1044L.VOB
135,NA,NA,9.28969e-05,0.00346545,F1044L.VOB
136,NA,NA,0.000104509,0.00246914,F1044L.VOB
137,NA,NA,3.48363e-05,0.00511154,F1044L.VOB
138,NA,NA,0.000116121,0.00363873,F1044L.VOB
139,NA,NA,0.000359975,0.00255577,F1044L.VOB
140,NA,NA,0.00110315,0.0033355,F1044L.VOB
141,NA,NA,0.000568993,0.00363873,F1044L.VOB
142,NA,NA,0.000313527,0.00164609,F1044L.VOB
143,NA,NA,0.000499321,0.00363873,F1044L.VOB
144,NA,NA,0.00016257,0.00220923,F1044L.VOB
145,NA,NA,9.28969e-05,0.00177605,F1044L.VOB
146,NA,NA,8.12848e-05,0.00437514,F1044L.VOB
147,NA,NA,9.28969e-05,0.00385532,F1044L.VOB
148,NA,NA,6.96727e-05,0.00186268,F1044L.VOB
149,NA,NA,0.000359975,0.00324886,F1044L.VOB
150,NA,NA,0.000348363,0.00329218,F1044L.VOB
151,NA,NA,0.000197406,0.00173273,F1044L.VOB
152,NA,NA,0.000754787,0.001906,F1044L.VOB
153,NA,NA,0.000174182,0.00355209,F1044L.VOB
154,NA,NA,0.000336751,0.00268573,F1044L.VOB
155,NA,NA,0.000812848,0.00216591,F1044L.VOB
156,NA,NA,0.000510933,0.00272904,F1044L.VOB
157,NA,NA,0.000627054,0.00121291,F1044L.VOB
158,NA,NA,0.000267079,0.00437514,F1044L.VOB
159,NA,NA,0.000150957,0.00346545,F1044L.VOB
160,NA,NA,0.000510933,0.00151614,F1044L.VOB
161,NA,NA,0.00147474,0.00311891,F1044L.VOB
162,NA,NA,0.00197406,0.002859,F1044L.VOB
163,NA,NA,0.00300754,0.00368204,F1044L.VOB
164,NA,NA,0.00272885,0.0033355,F1044L.VOB
165,NA,NA,0.00263595,0.00389864,F1044L.VOB
166,NA,NA,0.00284497,0.00229586,F1044L.VOB
167,NA,NA,0.00305398,0.00259909,F1044L.VOB
168,NA,NA,0.0043197,0.00264241,F1044L.VOB
169,NA,NA,0.00404101,0.00203595,F1044L.VOB
170,NA,NA,0.00205534,0.004765,F1044L.VOB
171,NA,NA,0.00066189,0.00498159,F1044L.VOB
172,NA,NA,0.000394812,0.00138618,F1044L.VOB
173,NA,NA,0.000627054,0.00337882,F1044L.VOB
174,NA,NA,0.000673502,0.00368204,F1044L.VOB
175,NA,NA,0.00082446,0.00259909,F1044L.VOB
176,NA,NA,0.00117282,0.00324886,F1044L.VOB
177,NA,NA,0.0011496,0.00424518,F1044L.VOB
178,NA,NA,0.00154441,0.00233918,F1044L.VOB
179,NA,NA,0.00190439,0.00346545,F1044L.VOB
180,NA,NA,0.00318172,0.00229586,F1044L.VOB
181,NA,NA,0.00286819,0.00155945,F1044L.VOB
182,NA,NA,0.00171859,0.00372536,F1044L.VOB
183,NA,NA,0.00200889,0.00398527,F1044L.VOB
184,NA,NA,0.00312366,0.00138618,F1044L.VOB
185,NA,NA,0.00631699,0.00320554,F1044L.VOB
186,NA,NA,0.00591056,0.00251245,F1044L.VOB
187,NA,NA,0.0066189,0.00246914,F1044L.VOB
188,NA,NA,0.00656084,0.00368204,F1044L.VOB
189,NA,NA,0.00656084,0.00411523,F1044L.VOB
190,NA,NA,0.00483064,0.00138618,F1044L.VOB
191,NA,NA,0.00343718,0.00298895,F1044L.VOB
192,NA,NA,0.00254305,0.00129955,F1044L.VOB
193,NA,NA,0.00247338,0.00268573,F1044L.VOB
194,NA,NA,0.00179988,0.00402859,F1044L.VOB
195,NA,NA,0.00190439,0.00342214,F1044L.VOB
